가게이름,리뷰내용,리뷰별점
VIP참치 서소문점,참치는 좋은 부위가 나오진 않으나 비리진 않아요. 주문할때 참치 코스만 물어봐서 몰랐는데 활어를 뺄수 있었군요? 안알려주시더라구요? 당연히 체크해야 하는거 아닌가요? 주문하고 1분만에 참치 나온걸 봐서는 세팅해뒀던거 주는건 확실한듯해요. 밑반찬은 별로 안나오고.. 다 엄청나게 짰어요 국이랑 스끼다시 다;; 너무 물려서 사이다로 간신히 버텼네요 별로 신경써주는것 같지도 않고 리필받은 참치는 너무 해동이 많이 되어서 물컹거리고ㅠ 룸에서 먹었는데 아니 당연히 참치집 룸으로 예약하면 먹는거 봐가면서 신경써주시는거 아닌가요.. 반찬 다 식고 먹은지 삼십분 오십분 되도록 다음 나올 스끼다시랑 참치를 안주길래 국 하나 반찬 하나 먹으려면 계속 콜해야하더라고요? 나오면서 보니 다른 테이블은 저렴한 코스도 치킨을 주는것 같던데 우리 테이블은 안주더군요 ㅋㅋㅋㅋ 서비스 품질이 개판.. 다신 안갈것 같아요,1
VIP참치 서소문점,"너무 맛있고 가봤던 VIP참치중에 제일 맛있네요
이 근처에서 참치 먹으려면 여기 올 것 같아요.",5
VIP참치 서소문점,가성비 좋은 참치 맛집~~회식장소 굿..,4
VIP참치 서소문점,가성비와 손님접대가 최상급이며 모든 모임으로 최적의 장소임,4
VIP참치 서소문점,"좋은 회 맛에 비해 가성비 좋아요, 친절 서빙도요.",5
VIP참치 서소문점,늘 맛있게 먹고 가는 참치집! 서비스도 늘 좋고 참치의 품질은 말할 것도 없이 너무나 최고. 평일에는 룸으로 예약해도 회식 소리가 좀 시끄럽지만 식사에는 지장 없음. 참치는 여기서만 먹어요.,5
VIP참치 서소문점,맛있게 먹고갑니다~,5
VIP참치 서소문점,참다랑어 참치. 잘 먹었습니다. 리필 좀 더 자주 해주시면 좋을듯.,4
VIP참치 서소문점,다른 지점보다 여자 매니저님 칭찬이 가득하셔서 궁금했는데 친절하셨으나 특별히 기억남을 만한 건 없었습니다. 그냥 일반 직원분들 정도 인데...? 회가 진짜 맛있고 해동 상태가 매우 좋네요! 반찬들도 안주삼기좋은 구성진걸로 나와요. 참고로 1층 배너에 2번까지 리필해준다고 써 있는데 더 안시켜봐서 확실한건 아니예요. 남자분들이라면 양 부족할 것 같아요 주위회사원들 모임하기 좋아보여요. 회식가야지~~,5
VIP참치 서소문점,"방어회, 양, 맛, 친절",5
VIP참치 서소문점,"깔끔하게 나오는 참치요리로 조금 격식 있는 모임에 좋음 

사전 예약시 방으로 배정 받으면 조용히 즐길 수 있음 

가격과 맛 둘다 괜찮은곳",4
VIP참치 서소문점,"해동 안 된 참치
밑반찬도 거의 업",2
VIP참치 서소문점,"1. 맛은 그렇게 많이 특별할 것도, 그렇다고 부족한 것도 없음
2. 팁을 받지 않음. 그러나 직원들 모두 친절함
3. 룸식으로 되어 있어 조용히 먹기 좋음",3
VIP참치 서소문점,전화 예약까지 하고 갔는데 가니까 참치 다 떨어졌다고 해서 기분이 매우 나빴네요&hellip;,1
e문어세상 충정로직영점,"공덕 법원 뒤편의 본점과 동일한 직영점으로 해천탕을 맛있게 내어주는 식당이다. 일 하시는 직원 분들도 친절하시고, 가게 내부도 깔끔하여 회식이나 모임을 하기에 좋겠다.",4
e문어세상 충정로직영점,"넓고 비싸지않고 맛있어요
해물굳",4
e문어세상 충정로직영점,"해물이 짜고,
응대가 아쉽네요;;",1
e문어세상 충정로직영점,회식때 한번 가봤는데 해물양 많고 나쁘지 않았습니다,3
e문어세상 충정로직영점,해천탕 맛있어요,5
e문어세상 충정로직영점,"역에서 가까워 접근성 좋고, 직접 손질 다 해주셔서 먹기만 하면됨. 시원한 국물에 국수 추가해서 먹으면 술 안주로 👍🏻",5
e문어세상 충정로직영점,"칼국수를 시켰는데 양도 푸짐했고, 국물과 면도 괜찮아서 전체적으로 무난했던 것 같아요~",3
e문어세상 충정로직영점,"음식은 가성비 좋았는데, 종업원 친절이 조금 아쉬웠습니다.",4
e문어세상 충정로직영점,홀서빙 엉망,1
e문어세상 충정로직영점,해천탕 정말 배터지게 먹었네요,5
가메골손왕만두 남대문본점,"맛집이라하고 먹으면 그냥 어~ 평범한 맛있는 만두다 싶은데
그래서 20분씩 대기할맛은 아니다 싶지만..

집앞에 생긴 엉성한만두집 만두를 먹다가 슬근히 생각나는 맛

그거먹다 먹으니 눈물나게 맛있음 ㅠ

위생은 안좋아보여도 비닐이나 상자에라도 실수로 떨어트린 만두는 다 갈무리해다가 직원들이 먹거나 하는둥 아예 신경을 안 쓰시진 않아요

칼국수는 평범해용",5
가메골손왕만두 남대문본점,"유명세만큼 엄청 맛있다!! 정도는 아님
왕만두 만두피가 꽤 두꺼워서 동네 만두랑 비슷
칼국수도 무난무난
기대했는데 좀 아쉬웠다",3
가메골손왕만두 남대문본점,몇년전에 먹어보고 맛있어서 인천에서 다시 갔는데 이거 배달시키면 배달료는 얼마정도 나오나요? 인천 남구입미다,5
가메골손왕만두 남대문본점,"맛있네요 많이 기대 안 했는데, 반드시 또 사먹을거에요 ㅎㅎ",5
가메골손왕만두 남대문본점,"김치만두 안좋아하는데 여기 왕만두는 고기 김치 둘다 훌륭해요 ㅠㅠ 기대 안했던 칼국수도,,,, 최고",5
가메골손왕만두 남대문본점,가격이 점점 안드로메다로 가는구나,1
가메골손왕만두 남대문본점,고기만두 대박,5
가메골손왕만두 남대문본점,가격&amp;맛 굳,5
가메골손왕만두 남대문본점,낱개도 파시네요. 한개 천원! 맛만 보셔도 좋을 거 같아요. 반죽에 뭐가 들어가는지 쫄깃해요.,4
가메골손왕만두 남대문본점,legend mandoo,5
가메골손왕만두 남대문본점,"매장에 먹고 갈 공간은 있는데 넓지 않습니다. 테이블도 작아서 후다닥 먹고 가야할 느낌이었어요.

놀랍도록 맛있다! 정도는 아닙니다만
만두소가 부드럽고 만두피도 적당히 부드럽고, 고기잡내라던가 밀가루냄새 같은게 나지 않는, 소와 피의 균형이 적당하다는 생각이 들어서 
맛있게 잘 먹었습니다.

저는 더운 날 가서 냉면이랑 같이 먹었는데요, 이 집에서 굳이 냉면 먹을 필요는 없을 것 같아요.

멀리서 이 집 하나만 보고 갈 필요는 없지만 근처 지나갈 때 가끔 포장해가면 좋겠다는 생각이 들었어요.",4
가메골손왕만두 남대문본점,"갠적으로 피두꺼운 왕만두보다 얇은피 보드라운 만두를 좋아하여 평소 왕만두에 대한 기대치가 매우매우 낮고 아무리배가 고파도 선뜻 안사먹는 메뉴인데.. 여기 고기만두는 미쳐씀! 이거먹으러 남대문 찾아올 의사 100푸로

고기만두 5/5
김치만두 4/5
새우만두 3/5",5
가메골손왕만두 남대문본점,만두 맛있음. 중국 화덕만두 느낌,4
가메골손왕만두 남대문본점,맛있고 빠르게 음식이 나오나 위생적으로 깨끗하진 않음,3
가메골손왕만두 남대문본점,만두의 왕,5
가메골손왕만두 남대문본점,맛있어요.,4
가메골손왕만두 남대문본점,"왕만두는 맛있기는 한데 피가 쫀득한게 아니고 물렁하다보니..그게 아쉽네요. 갈비만두는 마포쪽 갈비만두가 아니고 불고기소스넣은 소라 할까.
갈비맛은.전혀 안나던데요?

그런데 사장님..손님이 계산하고 나갈려고 서있으면 전화 좀 끊고 계산부터 해주시죠? 아니 전화끊을때 까지 아무 반응도 없고 쳐다보기만 하면...다른 직원분들이라도 해줄줄 알았더만..거기에 계산도 잘못하셨는데 미안하다는 말조차도 안해..답답하네요",1
