가게이름,리뷰내용,리뷰별점
복성각 서대문점,면이 쫄깃하고 영화보기 전 나쁘지 않은 선택.,2
복성각 서대문점,"코스별 요리맛은 최고입니다/ 한가지 아쉬운점은 
계산후 서비스 돌변 이예요 벨 눌러도 계속 안오십니다",5
복성각 서대문점,"유린기 냉면, 파리머리(마늘쫑)덮밥, 고기튀김 전부 다 맛있었습니다.",5
복성각 서대문점,"여름에 냉면먹으러 방문해야 하는 곳
바쁜 점심시간에 사람이 몰려서 일찍 가야함. 친절함은 바라지 않는게 좋음.
메뉴가 잘못 나오는 일이 많음. 주문 확인 및 마지막 으로 계산서 확인을 잘 해야함",3
복성각 서대문점,삼선짬뽕!,4
복성각 서대문점,짜장면과 딤섬이 맛있음,4
복성각 서대문점,볶음밥. 매콤새우짜장면. 찐만두 진짜 맛있어서 자주 방문해요. 다만 딤섬은 제 스타일은 아니었어요ㅠ,4
봉래축산,고기는 쏘쏘합니다. 그치만 너무 시끄러워서 재방문은 어려울거같아요,3
봉래축산,"버릴게 없는 봉래모둠세트 🥩
위치도 좋고 모임하기 딱 좋은 공간!
주변에 이만한 가성비 없습니다... 다들 봉래가세요",5
봉래축산,"고기 맛있다!!!
도시락은 가격도 맛도 아쉬움",5
봉래축산,"맛있고 불도 정말 좋습니다
사장님이 투박하지만 친절하심",5
봉래축산,"미국산 소고기치곤 퀄리티가 좋아요..
소양념갈비 추천..
막창은 비추",4
봉래축산,맛은 있는데 너무 더워요 여름엔 가지마세요,3
봉래축산,"1.갈비살 드센
2.가성비조음
3.콜키지프리",5
봉래축산,질좋은 재료와 맛도 좋고 친절한서비스 대만족입니다,5
봉래축산,"꽤 괜찮다. 냉면, 육회비빔밥은 별로였으나 재방문의사 있음",4
봉래축산,"서울역 뒤 만리동의 만리재로에 있는 서울역디오빌 옆 골목에 위치한 숯불구이 전문점입니다.
옛날에 공장으로 사용하던 건물의 지하1층에 가게가 위치한 레트로풍의 고깃집입니다.
테이블 간격도 넓어서 꽤 쾌적한 편입니다.
가성비도 좋고 고기도 맛있는데 특히,  소양념갈비가 많이 달지도 않고 맛있었습니다.
주문할 때 버섯도 추가 주문하는 게 좋습니다.
동치미를 비롯해 반찬들이랑 나오는 게 많아서 상이 비좁을 정도입니다.
그래서 원형 탁자는 다소 불편하기는 합니다.
저녁시간에는 6시 반 정도면 만석이 되는 것 같았습니다.",4
봉래축산,미국산이지만 적당히 맛있고 친절합니다. 주차장이 없어보이더라고요.,4
봉래축산,가성비있게 즐길수 있는곳,4
봉래축산,"맛있고 가성비 있는것에비해
구워먹기가 좀 불펀",3
봉래축산,"가격대비 맛있어서 몇 번 간 곳!
열무비냉 동치미도 맛있어요.",4
봉래축산,소주 및 맥주 5000원,1
봉래축산,회식장소로 100%추천합니다! 저 여기 예약하고 전무님한테 이쁨 듬뿍받음요... 콜키지도 프리임!!,5
봉래축산,팀 회식으로 갔는데 따로 재방문하고싶을 정도로 괜찮았어요. 된장찌개에 차돌박이 들어간거 보고 감탄!👍 짜지도 않고 아주 맛났습니다,5
봉래축산,"고기 좋아하는 친구들이랑 푸파하고 왔습니다.
양념갈비라 계속 들어가네요. 분위기 자체도 적당히 시끄럽고 재밌어서 좋았습니다.
직원분들도 바쁜와중에도 놓치지 않고 요구사항 들어주신거 너무 좋았습니다",5
봉래축산,"쏘쏘해요 돼지갈비 메뉴는 없어져서 소갈비 먹었고, 계산 실수 있으셔서 돈 더 낼 뻔했어요",4
봉래축산,회식하기 진짜 너무 좋아요! 가성비+맛 둘다 좋고 넓어서 단체로 예약하기 딱이에요!,5
봉래축산,"콜키지 한병 무료
갈비살 가성비가 훌륭함
일반 소고기는 쏘쏘? 굿?",4
봉래축산,"총평: B

맛: 4
양: 2
친절: 3
주차: 불가
돈값: 애매

+ 고기질은 양호함. 숯도 괜찮음. 가게 분위기도 젊은 감성임. 
- 양이 적은 편. 밑반찬도 가짓수가 너무 적음. 식사 메뉴도 한정적임. 나쁘지는 않는데 확 끌리지도 않아서 굳이 찾아갈 이유는 없을듯함.",4
봉래축산,참숯불에 쇠고기.. 더이상의 무엇이 있을까요..,5
봉래축산,그정도..는 아닌거 같은데.. 그냥 평범한 양념갈빗살 맛. 양이 절대로 많지는 않은 편. 분위기는 힙하고 친절하나 인스타나 네이버에서 봤던 그런 찐맛집이라기엔 부족함이 많은 듯. 재방문은 글쎄..,3
봉래축산,"콜키지2병무료에서 이미 좋음. 가격대도 저렴한편, 개인적으로 모둠보다 갈비살이 더 맛있엇음",5
봉래축산,뭔가 아쉬운 곳...,2
봉래축산,"시킨 거 거의 다 먹고 마지막 남은 돼지갈비 사진 찍었어요.
소갈빗살, 된장찌개, 열무비빔냉면, 콘치즈, 막창, 치즈폭탄계란찜, 돼지갈비~ 주문한 거 하나도 빠짐 없이 다 맛있었어요 👍🏻
고기가 다 연하고 은은한 단맛이 기본적으로 나는데 제 입맛에 딱이었어요.
군대 간 큰 아들 휴가나오면 꼭 데리고 오고 싶어요.
손님들도 많고 한참 굉장히 바쁜 시간대에 왔는데그 와중에도 직원분들 다 친절하셨어요 👍🏻",5
봉래축산,"로얄생갈빗살 
목살스테이크 
열무냉면 

고기 질도 좋고 반찬 포함 모든 메뉴가 다 맛있어서 놀랐음.",5
봉래축산,가성비가 좋은 고깃집입니다.,3
봉래축산,직원분들이 매우 친절하시고 가성비도 좋은 식당이에요! 그만큼 사람도 많음..!,5
봉래축산,생갈비 시켰는데 양념용 고기인지 질기고 근막도 많아요. 양념갈비집이라 그런지 생고기는 별로네요. 테이블 넓고 반찬도 많고 가게는 깔끔하네요. 반찬이나 사이드메뉴 맛은 좋았어요.,3
봉래축산,가성비 굿굿 ~~,5
부원면옥,"면발이 옥천냉면 스타일입니다 평냉느낌보단
특색있는 냉면맛이라 보면 될거같습니다
가격대는 저렴했으나 조금 올라서 크게 저렴하진 않습니다 직원들의 접대와 위생이 전반적으로 만족스럽지 못해 3점",3
부원면옥,"( 평양냉면 )
면에 전분 함량이 좀 높음
육수에 육향은 잘 느껴지는 편은 아님
면에 전분 함량이 많은 관계로 전분에 달착지근한 뒷맛이 있다
개취 여긴 함흠처럼 다데기, 겨자, 식초 다 넣는 것도 괜찮을 듯
여튼, 가격 등 나름 매력 있어 찾고 있음

( 기타 )
냉면에 계란은 반개보다 많이 작은 슬라이스
계란은 반정도는 주시지 가격도 올랐는데
무채/오이는 식초, 당분, 염분을 거의 사용하지 않은 원초적인 맛",3
부원면옥,"물냉면 빈대떡 먹음.
냉면의 육수는 육향이 진하지는 않으나 간간하니 기분 좋은 맛이었다. 면발은 전분이 많이 들어갔는지 메밀향은 났지만 쫄면처럼 탄력이 강했다. 
육수 맛있어서 리필했지만, 냉면안의 고기는 퍽퍽해서 한조각만 먹었다.
무엇보다 냉면에 오이를 절여서 넣었는데, 이게 맛있었다. 
빈대떡은 아는맛이고, 제육무침에 소주한잔하러 또 가봐야겠다.",3
부원면옥,"보시면 냉면은 호불호 갈리긴해도 무침은 반박불가입니다. 가게의 명성이나 맛으로 볼 때 찾아가 볼만한 집입니다.

냉면도 이집저집 먹다가보면 가끔 땡기는 맛이긴해요",4
부원면옥,"부원면옥은 우리가 아는 평양냉면과는 확실히 다르다. 메밀이 적고 전분이 많이 들어가 쫄깃하고 미끄러운 단단한 식감의 면은 양평의 옥천냉면보다 얇지만 꼬들한 느낌이 비슷하다. 육수는 다른 유명 냉면집들 보다 육향이 부족한 느낌이고 맛도 평범하다.
이런 냉면도 있구나 하고 한번은 먹어볼만 한데, 줄을 서면서 까지 먹지는 않을 맛이다. 그리고 항상 바쁜 곳이니 친절은 바라지 않는게 정신건강에 매우 이롭다.",3
부원면옥,내 입맛엔 여러 평냉중 가장 대중적이고 가성비 맛집~,4
부원면옥,"25.03월 두번째 방문
냉면은 여전히 맛있고 제육무침이 대박이다
양도 많고 고기가 투박한데 질기지 앦고 쫄깃하고 또 고소함
전날 과음으로 머리가 깨질 것 같았지만 소주가 생각나더라

아 계속 생각난다,,, 오늘도 먹고 싶어요
먹어본 평양냉면 중 간이 가장 강했어요. 근데 진짜 맛있었네,, 생각만해도 군침돈다
혼자 가서 무침을 못먹었어요 , 일요일도 열어주세요!",5
부원면옥,투박한 맛. 진짜 노포. 그런데 싫지 않음.,4
부원면옥,"특이하게 줄 서다 보면 바로 옆에서 바쁘게 빈대떡을 굽는 것을 볼 수 있다. 
쫄면 같은 면발에 전체적으로 달다. 살짝 텁텁한 비냉보다는 물냉이 괜찮고 빈대떡은 갓 나와서 그런지 바삭하고 맛있음.",2
부원면옥,"시장 스타일 옛날 평냉
타지에서 찾아와서 한 번 먹은 사람은
맛평가하기 어려운 곳임",5
부원면옥,냉면,3
부원면옥,강한 염도의 국물과 찰기가 있는 평냉 냉면보다 간장에 다데기를 크게 풀어 곁들이는 빈대떡이 맛있음,3
부원면옥,손님들이 많아져서 복잡한데 맛은 괜찮,5
부원면옥,"평양냉면 이라고 하면 안돼요 그냥 냉면입니다
역시싸고 맛있는건 없네요 싼게비지떡",1
부원면옥,"혼자갔는데 냉면만 먹고 나올라하는데
갑자기 아무말도없이 빈대떡 작은걸 주길래
작은건 서비스로 나오나 싶었는데
시키지도않은 빈대떡 나중에 결제했습니다.
거의 이정도면 눈뜨고 코 베이겠네요
혼자 냉면먹고 2만원돈 결제한 건 또 처음이네요
맛은 정말 객관적으로 잘모르겠으니 그냥 가서 먹어보세요
왜 줄서서 먹는지 잘 이해가 안감
빈대떡 강매 + 평탄한 맛",1
부원면옥,"이게 어떻게 심심한 맛이지?
평냉은 육수 마시고 뒷맛이 짠맛이 올라오는데 그 짠맛이 뭔지 모를 정체불명의맛. 닭과 돼지고기 육수라는데 모르겠음 냄새나고 ㅇㅇ이렇게 맛없게 먹은것도 오랜만이라 기분좋았음 경험치 쌓여서 ㅋㅋㅋㅋㅋ 인터넷엔 평 좋던데? 나름 팬이 많은 집인가 보다. 
빈대떡은 고소한 기름냄새가 많이 나는게 맛있었음 한장에 4천원.
2015/7/21",1
부원면옥,"육수 첫맛에 느껴지는 살짝 단맛의 정체를 모르겠지만 나름 깔끔한 맛....가성비로는 최고
빈대떡도 맛있다.
비빔은 쏘쏘",3
부원면옥,"싼게 비지떡
빈대떡은 맛있음",2
부원면옥,제육무침 빈대떡 평양냉면,3
부원면옥,평양냉면이지만 강한 간,3
부원면옥,"노포지만 깔끔하고 주력 평냉 맛있습니다.
술 안주도 가성비 좋고 솜씨 좋음 맛집",4
부원면옥,"평냉 좋아하는데 요즘 평냉 가격이 미쳤잖아요? 근데 여기는 합리적인 가격에 맛도 유명 평냉집보다 맛있어요!!!
빈대떡은 필수입니다",5
부원면옥,"저는 자주 오고싶어요.
일반 슴슴한 평냉과 다르게 맛이 느껴지지만 이 집만의 특색이라 생각해요.
제육무침은 이집의 별미.. 안시키면 안되겠네요",4
부원면옥,"김대명이 간 거 보고 가봤어요. 잘 먹었는데 또 가고싶다 정도까지는 아니었어요. 깔끔한 느낌의
평냉은 아니에요. 닭무침은 투박한 다대기 맛. 냉면 한그릇에 막걸리 한 잔 하는 동네 할아버지들의 아지트 느낌.",3
부원면옥,내 참새방앗간 요즘 양이 줄어서 둘이 냉면 하나 닭무침 하나로 소주 세 병임 녹두전도 맛있음 줄 잔뜩 서있을 때 소주 마시기 조금 눈치 보여서(아무도 눈치 안 줌 주의)애매한 시간에 주로 가는 곳,5
부원면옥,비빔양념 색다름. 가격대비 양호. 그러나 돈 조금 더 내고 무채반찬이나 계란 더 많이 주는게 낫지 않나싶음. 다른 평냉에 비해 간이 셈.,3
부원면옥,"국민학교때 엄마 손잡고 시장돌아다니다 먹어본 곳... 이었음.
유투브에서 하도 유명하길래 갈치조림 먹으러가다
함 먹어보자 하고 들렀는데.. 입구서 부터 낯설지 않은..
오랜 기억속 그곳인걸 알아챈건 그리 오래 걸리지 않았음.
맛도 기억안나고 어땠는 지도 모르지만. 지금 먹어보니 이때까지 꾸준히 하는 이유가 있었음..
국물이 끝내줘요!",5
부원면옥,냉면이 나왔을때 면이 정갈하지 않게 나와 당황했지만 조화롭게  맛있었어요.,5
부원면옥,굳이 줄 서서 먹기엔 너무 돈이 아까움,1
부원면옥,"딱봐도 느낌이 맛집임.
안먹어봐도 별다섯일 느낌
이층이고 좀 침침한 느낌
테이블은 열두개인듯

평양냉면이 내 입맛에 어렵지 않을까 
염려하면서 한 젓가락들면...

가성비나 분위기보다 역시 평양냉면은 
슴슴한 맛이지 싶다.",5
부원면옥,"맛이 예전같지 않음;;
아쉬운 맛집 하나 잃음",1
부원면옥,"여기는 일반적인 슴슴평냉이랑 궤가 좀 다름. 많이 달고 면도 밀함량이 꽤 돼서 쫄면느낌이 좀 있는 면임. 감안하고 가면 충분히 먹을 만한데, 줄이 너무 길 때 그걸 기다리고 먹을 정도는 아님",4
부원면옥,"일단 가격에서 놀람
내 개인적으로 냉면은 필동보다 여기가 좋은거 같다.
그리고 빈대떡 꼭 같이 먹엉~~
그롬에도 4점을 준건...와씨!!!이정도는 아니라서..
그래도 준수이상",4
부원면옥,"많이 아쉽네요, 그 옜날 부원면옥은 없습니다,
부침개 ... 녹두가 비싸죠? 밀가루 냄새뿐  ... 숙주도 다짐고기도 없는 빈자떡.
비빔냉면 ...  아 너무합니다, 
쫄깃함도 전혀 없는, 난 국수인 줄.
면수도, 육수도 빵점. 돼지고기 고명 그렇게 올릴거면 차라리 넣지 마세요.
그렇게 삶나요? 부모님이 그렇게 가르치시 든가요?
이제 안갈 듯 합니다.
하나하나씩 옛맛은 주인이 바뀌 듯 사라지네요.",1
부원면옥,"평양물냉면 좋아요 
건강한 맛",4
부원면옥,"일단 평냉인거 모르고 끌려와서 지금 매우화남
맛있는 냉면 먹으러왔다가 이게 뭔 날벼락
개인적으로 평냉집 모두 망해야한다고 생각함
가격도 더럽게비쌈

옆사람들은 이걸 맛있게 먹고있다는게 놀라웠음

다만 전 닭무침은 먹을만했음",1
부원면옥,"비빔곱빼기, 제육무침, 빈대떡 주문했습니다.
직원분들 친절하시고 음식도 빨리 나왔어요. 
겨자, 양념다데기, 식초 넣어서 먹으라는 제육무침은 두툼한 고기에 냉면비빔장 같은 다데기 맛에 매력적이었어요
빈대떡도 고소했고 비빔냉면도 맛있게 잘 먹었습니다",5
부원면옥,"휘황찬란한 명성에 비해 맛이 특별한진 잘 모르겠음
줄서서 먹을정도는 절대 아니고
종업원이 친절하진 않음 ㅎㅎ
물냉보단 비냉 추천",2
부원면옥,빈대떡이랑 닭무침은 꼭 먹어야함,4
부원면옥,"물곱에 떡하나!!
몸속 알콜과 독속를 뽑아내는 느낌
평냉 입문자들은 필수코스",5
부원면옥,와 대명이따라 왔더니 닭무침 빈대떡 후... 미쳐도랏음 진짜 넘 맛있어요 넘 아수운건 일월 흄과 일찍 문닫는다는점...,5
부원면옥,"기대에 좀 못 미치는 맛이지만 다른 평냉에 비해 가격이 합리(?)적이라 생각..
오히려 닭무침과 빈대떡이 먹어보고 싶다.",3
부원면옥,먹으면서 왜 사람들이 많이 올까? 1도 찾지못했음ㅋ 그냥냉면맛없음 다른건 안먹어봄 친절한것도 아님,1
부원면옥,이게 평냉이 맞나? 면발 자체가 진짜 맛없음,1
부원면옥,빈그릇이 인증 그자체,5
부원면옥,여기는 평양냉면이라 부르면 안되는거 아닌가?,1
부원면옥,평냉러버로서 색다른 매력이 있는 평냉이라 생각했어요🤭 닭무침과 곁들이면 생각보다 괜찮었고 비빔도 맛있다고 하네요?! 다만 고기가 부드럽진 않아서 뭐지 싶긴 했지만 재방문 의사 있습니다😆 혼자 오시면 빈대떡 추가 추천! 셋이 오시면 빈대떡에 닭무침 추가 추천!,5
부원면옥,"너무맛있어서 눈돌아가는줄알았습니다
물냉면 육수도 진하고 무지맛있었고
빈대떡도 고슬고슬한 식감에 담백하고 간도 딱맞았어요
제육무침은 고기도부드럽고촉촉하지만 새콤달콤한 양념이 맛도리입니다 거기에아삭한 오이와양파가 찰떡이였어요
매장에 숟가락없어서 아쉬웠구요
또먹고싶어요 너무맛있게먹어서 계속생각납니다
먹어본 냉면집중 제일맛있었어요",5
부원면옥,보급형 평냉집이라고 불리우지만 면에 메밀은 거의 들어있지않거나 소량 들어간것으로 추측될정도로 맛과 향이 느껴지지않음 그러나 제육무침과 초계무침은 단언컨데 국내원탑 아니 글로벌 원탑이라고 생각함 가성비는 물론이고 고기양도 엄청 나서 소주 안주로 미침,4
부원면옥,"건물주여서 가격저렴
색다른 평양냉면
여름 한달에 두번은 감
녹두전도 좋음",4
부원면옥,성재픽 냉면육수 너무맛있다. 위생과 분위기는 별로,4
부원면옥,"불친절한 서비스, 값은 상대적으로 저렴하나 가성비로 치면 좋지 않은 맛.",1
부원면옥,"1,3,5번째 일요일 휴무",1
부원면옥,"돼지고기 올라간 냉면 맛나요
전 바삭 너무 맛있어서 두개먹늠요",4
부원면옥,평냉 육수에서 감초의 단맛과 쓴맛이 강하게 느껴져 당황했지만(개인적으로 감초 싫어함..)식탁에 있는 식초를 넣으니 맛이 밸런스를 잡음. 빈대떡이 궁금하니 근처 올 일 있을 때 먹어볼 예정. (감초때문에 놀라서 평점 3.5 정도 주고싶었으나 없으므로 반올림 ;) ),4
부원면옥,"집에 누워서 잘때 가끔 생각남
평냉으로 분류 안하고 부원면옥은 그냥 부원면옥임
이번주에 또 먹으러 가야지",5
부원면옥,입구를 찾을 때는 헤맸으나 들어오니 따스한 공간이 숨어있었어요. 평냉이라기 보다는 뭔가.. 다른 계열의 냉면이었어요! 달콤담백한 맛이 자꾸 아른거리네요. 또 직원 분들이 친절하세요. 아! 온면도 굉장히 맛있습니다.,5
부원면옥,가성비 좋고 맛있는 냉면. 한장 4000원인 곁들임 빈대떡도 추천. 전반적인 스텝의 응대도 친절하다. 닭무침은 별미. 남대문 갈일 있으면 종종 가서 혼밥하는 곳이다.,5
부원면옥,평양 냉면이라 칭할 수 없는 곳. 국물도 짜고 면발은 전분 그 자체. 한껏 기대하고 이십분나 걸어갔는데 택시 타고 갔으면 택시비 아까울뻔.,1
부원면옥,3~4명이 닭무침+물냉,3
부원면옥,"평냉중 제일 무난하면서 은근히 맛있는 집. 가격도 제일 착하고 닭무침, 빈대떡도 강력추천합니다.",4
부원면옥,물냉+빈대떡=필승,5
부원면옥,ㄱㅊ,5
부원면옥,"달고 생강향이 나는 국물입니다. 면발은 쫄깃한 편. 
이곳도 이제 비냉은 만원을 넘었군요^^);;",4
부원면옥,"가성비 찐에 맛도 굿인
남대문시장 내 찐 노포 냉면 맛집~♡",4
부원면옥,"오래된 노포에 사람에 치이다 보면 그렇겠거니 생각하는데..
주방 앞에 나이 좀 있는 남자분..서비스마인드는 배우셔야 할듯
본인이 가는귀가 먹었으면 주문을 받지 말던가
기분이 안좋으면 손님맞이하지 말고 댁에 가쇼

들어가자마자 비냉 물냉 빈대떡 주문 해서 냉면 둘은 나왔는데 다 먹을때까지 빈대떡이 안나왔다고 하니..
&quot;못들었어..&quot;하고 직원끼리 대화로 끝이네요.

손님한테 말을 해야지..직원끼리 그러고선 끝입니까? 어이도 없고 해서 주문취소하고 냉면만 먹고 나왔는데.. 입으로 들어가는 만족이 50프로면 직원들 서비스먹는게 50프로가 음식장사 아닌가요? 실수는 다 할 수 있는데 뭐 어쩌라고 식의 마인드는 이해가 안가네요

네이버에도 똑같이 실수한 댓글이 있는 것 보니 한두번 이런 짓하는게 아닌 모양 ㅉㅉ",1
부원면옥,찐이다,5
부원면옥,가족과 행복한 시간,5
부원면옥,"상당히 과대 평가된, 하드코어 스타일의 평양냉면. 기름을 제대로 걷어내지 않은 육수와 전분 함량이  많은 면발 그리고 제 멋대로 썰어서 올린 고명 등 내 마음 속에 간직한 평양냉면의 품격을 망가뜨린 곳으로, 싼게 비지떡이고 남대문시장 추억팔이의 전형이다. 오만불손한 여사장은 설상가상이다. 절대 비추.",1
부원면옥,종업원은 불친절 맛은 별로 특히 빈대떡은 돼지 기름 냄새 때문에 먹기 역겨움,1
부원면옥,다른 평냉집 대비 간이 좀 더 세서 평냉 안먹던 사람도 무리없이 먹을수 있을 정도임.,3
부원면옥,"옛날  생각해서 
택시비 들여서 갔더니만
맛도없고. 다시는 안간다",1
부원면옥,"나는 너무 맛있었고 아저씨도 너무 친절하셨는데....
평냉 돌아다니면서 먹는데 이집에는 오이지 넣어서 향이 굉장히 매력적이었음.
오늘 또 가고 싶은뎁...ㅎㅎ",5
부원면옥,사람 입맛이 제각각이라지만 냉면 육수에 쫄면 같은 면은 정말 아니다.닭무침도 맛없고.음식 남긴 건 처음.,1
부원면옥,평양냉면 아니고 걍 부원면옥st. 냉면 위 편육에 양념장 올려 먹으니 맛있었습니다,5
부원면옥,"가파른 계단을 올라가 식당을 들어가기도 전에 빈대떡 부치는 총각부터 만나는 당혹감.
요즘같은 시기에 다닥다닥...복작복작.
벽에 훈장처럼 붙어있는 여러 유명인의 싸인들 사이로 떡하니
&quot;냉면가격 1만6천원까지 받는다&quot;는 신문기사...
8천5백원 냉면이니 감사하며 머리조아려 먹으라는 오만함이 눈에 보이고 손에 잡히는 듯 해서 기분이 좋을 수 없다.
그럼에도 냉면 육수나 면 상태가 이 가격에서는 만족할 수 있는 상태.
빈대떡도 식감이나 맛이 나무랄 데 없이 매우 좋음.
묻거나 따지지 말고 싼 가격에 맛난 냉면을 먹고싶을 때는 여길 가라 권하고 싶다.
원래 냉면은 겨울음식이라 하니 눈 내릴 때 찾아가면 한갓지게 한 젓가락 할 수 있으려나.",4
부원면옥,"다른집보다 저렴하다고 내세우지만 돼지육수라는 점을 생각하면 뭐... 물론 맛은 잘 잡았음. 돼지라도 양평에 옥천처럼 거슬리는 냄새도 없고 면과 조화도 잘 됨. 고기고명도 냉면집 중에 제일 맛있음. 다만 바쁠 시간 가면 먹고 배아프다는....
배아픔이 반복되면 실수라고 보기는 좀... 조리하는 분이 중간중간에 핸드폰 본다. 냉면은 데우지도 않고 면부터 고명까지 전부 손으로 조리하기에...",3
부원면옥,"평냉에 대한 기대가 큰 입문자나 편견이 있는 분들에게는 추천하지 않습니다. 평양냉면을 좋아하고 좀 다른 맛을 찾는 분께 추천합니다. 돼지고기도 맛있고 면의 메밀향도 좋습니다. 또 육수도 깔끔하고 좋습니다. 가격대비 휼륭한 냉면입니다. 
자주는 아니지만 여름이면 꼭 생각나는 집입니다.",5
부원면옥,"저평가된 평양냉면집.
오래되고 작고 내부 인테리어같은거 없고 서비스도 보통. 
하지만 수십년동안 남대문 상인들의 지지를 받아온 것으로 끝장이다. 노포가 왜 노포인지 생각해보면 답나온다. 1번 먹고  쓴  네티즌들의 아래 평가들은 동의가 안된다 . (평양냉면을 처음  먹어보고 쓴 후기들도 꽤 보임)
꾸준히  먹어봐야 맛을 알수있는 평양냉면을 스타트하기에 딱 좋은곳이다. 이곳이 베스트는 아니라도, 15000 짜리 냉면집들은 너무하지 않은가?
우리집은1년에  2번은 간다. 별점  4.3",4
부원면옥,쏘쏘 어르신들이 좋아함,3
부원면옥,"맛있다기보단 매력있어서 자꾸 생각나는 맛. 소주 어울림
빈대떡은 꼭 시키세요.",4
부원면옥,"서비스가 뭔지 모르는 집
곱배기 시켰는데 주방에서 보통을 내어놓고 홀직원이 곱배기라고 하면서 짜증내니까 일반 냉면에 면만 더 얹어 곱배기라고 가져다 주고 면이랑 육수랑 비율이 안맞으니 육수 좀 더 달랬더니 곱배기 시킨거 아니냐며 그냥 육수 달라면 더 주거든요! 라며 육수 가져다 줌 아니 그냥 가져다 주면 안되나? 당신들이 실수 하소 투덜거리는거 다 봤는데? 앞으로는 안가요 안가!",1
부원면옥,"제 점수는요... 4.5!
지적할곳이 없는 맛입니다. 
단, 양념통 뚜껑을 잘 덮어 놓았으면 하는 바람이 있습니다.",4
부원면옥,"노포임은 확실하나 과거의 영광, 면에 신경쓴 노력이 보이나 국물은 그에 미치지 못한다. 상대적으로 저렴한 가격이나 맛도 그 가격에 맞게 나온다. 그나마 싸고 맛있는 빈대떡이 선방했다.",3
부원면옥,다른 평양냉면과 달리 이곳은 닭과 돼지고기로 국물을 내기 때문에 꼭 닭무침를 먹어야 함. 시장안에 상인들이 시원하게 먹기 좋은 냉면. 가격대비 양도 많음. 정말 더울 때 시원하게 먹기 좋음. 오래된 가게가 그자리에 그대로 있는 건 이유가 있겠지만 난 그 이유를 찾지 못함.,3
부원면옥,평양냉면을 저렴한 가격에 맛볼 수 있는 곳이라지만.... 이게 평양냉면인지는 잘 모르겠네요.,1
부원면옥,평냉치곤 달달한 편이긴 하지만 흔한 단맛이 아닌 이 집만의 개성인거 같아서 좋음,4
부원면옥,"가성비 평양냉면 이란 말이 딱 일 듯.
맛도 양도 가성비를 논해야 할 정도의 맛과 멋이다.
굳이 찾아가고 그르지마잉",3
부원면옥,담백한 맛,5
부원면옥,가성비 평양 냉면이라는 말이 맞아 보인다. 단돈 4천원인 빈대떡이 특히 맘에 든다.,3
부원면옥,냉면은 꼭 닭무침이랑 먹어야됨,5
부원면옥,평양냉면이라는데 면은 너무 질기고 육수는 육수가 아니라 그냥 면수고 너무 맛없고 별로인 평양냉면이네요,1
부원면옥,"여긴 사장님도 주방장도 다들 뭔가 화가난 상태 

전라도에서 설탕 넣은 콩국수를 말다 올라온 주방장이 아닐까 싶은 처음 맛보는 달다구리한 냉면육수 

위생은 멍멍이에게나 줘버린 듯",1
부원면옥,달아서 그냥 그랬어요,3
부원면옥,가성비 갑인 오류동 평양냉면 급을 기대했으나 우선 면이 어울리지 않음. 빈대떡은 잘구우신듯.,3
부원면옥,"다른분들이 평가해 주신것 처럼 단맛이 느껴지지만 감칠맛에 가까운 단맛이 입안을 감싸는 정도입니다. 
단맛이 좀 더 대중적으로 느껴지는데 가격은 그렇지 못해 아쉽습니다. 

평냉도 맛있고 빈대떡도 괜찮습니다.",3
부원면옥,"다른집보다 저렴하다고 내세우지만 돼지육수라는 점을 생각하면 뭐... 물론 맛은 잘 잡았음. 돼지라도 양평에 옥천처럼 거슬리는 냄새도 없고 면과 조화도 잘 됨. 고기고명도 냉면집 중에 제일 맛있음. 다만 바쁠 시간 가면 먹고 배아프다는....
배아픔이 반복되면 실수라고 보기는 좀... 조리하는 분이 중간중간에 핸드폰 본다. 냉면은 데우지도 않고 면부터 고명까지 전부 손으로 조리하기에...",3
부원면옥,최고,5
부원면옥,"알반적인 노포  맛? 기대하지 말고 가면 될 듯하네요.   빈대떡 4,000원? 그냥 맛 과  양이 딱2,000원 정도 네요",3
부원면옥,슴슴합니다. 평양에서 먹는맛이 정말 이런맛일까?궁금합니다.ㅋㅋ,3
부원면옥,"그냥 비싼 분식집 맛 냉면
빈대떡은 겁나 비쌈 크기가 거의 유치원 아이가 먹을 만한 ㅋㅋ",1
부원면옥,우와 너무 별로에요 &hellip; 맛잇는거라곤 빈대떡인데 빈대떡도 엄청 작고 &hellip; 불친절 하고 가게 위생도 그렇게 깨끗해 보이지도 않고 .. 오래 있는게 신기할 뿐이네요 &hellip;,1
부원면옥,"맛잇게 잘 먹엇습니다.
다음엔 냉면 말고 닭무침 먹어보고 싶네요",4
부원면옥,맛있고 빨리 나오니 좋네요 가성비짱!,5
부원면옥,"물냉면 곱배기 12000원
빈대떡 5500원
닭무침 15000원",5
부원면옥,으... 김대명...,1
부원면옥,"알반적인 노포  맛? 기대하지 말고 가면 될 듯하네요.   빈대떡 4,000원? 그냥 맛 과  양이 딱2,000원 정도 네요",3
부원면옥,슴슴합니다. 평양에서 먹는맛이 정말 이런맛일까?궁금합니다.ㅋㅋ,3
부원면옥,"그냥 비싼 분식집 맛 냉면
빈대떡은 겁나 비쌈 크기가 거의 유치원 아이가 먹을 만한 ㅋㅋ",1
